==================================================================
  EXPERIMENT CONFIGURATIONS  (3 experiments)
  Code state (git): 1269c32
  Instance order  : by seed, then config (seed1 of all types first)
==================================================================
  Shared parameters:
    time_limit_s=60               NoRelHeurTime=0
    MIPGap=0.0                    seed=1

  Per-experiment parameters:
  Label       Solver                      weight_makespan  weight_delay  weight_movements
    scn_two_rows_medium_P5_R30   30   +34.08%    +3.54%   +66.20%
    scn_two_rows_medium_P5_R5    30    +0.00%    +0.00%    +0.00%
    scn_two_rows_tight_P5_R10    30    +0.86%    -1.52%    +5.82%
    scn_two_rows_tight_P5_R20    30   +18.53%    +0.89%   +38.78%
    scn_two_rows_tight_P5_R30    30   +32.35%    +7.72%   +59.37%
    scn_two_rows_tight_P5_R5     30    +0.00%    +0.00%    +0.00%

  -- Per-component mean Δ (heuristic − MILP); negative = heuristic better --
  -- (relative gap is distorted when the optimum delay ≈ 0; read these too)
  [wMK  (100/1/1  makespan-priority)]
    Type                          N   Δmakespan      Δdelay      Δmov
    ---------------------------------------------------------------
    scn_chain_loose_P5_R10       10       +2.80       -2.80     +1.80
    scn_chain_loose_P5_R20       10      -25.30     -189.25    +17.40
    scn_chain_loose_P5_R30       10     -104.55    -1117.65    +66.00
    scn_chain_loose_P5_R5        10       +0.00       +0.00     +0.00
    scn_chain_medium_P5_R10      10       +2.55       +1.20     +3.40
    scn_chain_medium_P5_R20      10      -27.80     -175.90    +16.60
    scn_chain_medium_P5_R30      10     -108.80    -1264.80    +64.00
    scn_chain_medium_P5_R5       10       +0.00       +0.00     +0.00
    scn_chain_tight_P5_R10       10       +1.10      -13.15     +0.60
    scn_chain_tight_P5_R20       10      -22.30     -120.70    +15.00
    scn_chain_tight_P5_R30       10     -108.40    -1274.85    +70.00
    scn_chain_tight_P5_R5        10       +0.00       +0.80     -0.40
    scn_hub_loose_P5_R10         10       +1.65       -3.65     -6.80
    scn_hub_loose_P5_R20         10      -18.90     -105.55    -16.80
    scn_hub_loose_P5_R30         10      -38.30     -330.40    +16.40
    scn_hub_loose_P5_R5          10       +0.00       +0.00     +0.00
    scn_hub_medium_P5_R10        10       +1.65       +0.30     -7.00
    scn_hub_medium_P5_R20        10      -17.65     -114.05    -14.20
    scn_hub_medium_P5_R30        10      -40.40     -435.80    +14.80
    scn_hub_medium_P5_R5         10       +0.00       +0.00     +0.00
    scn_hub_tight_P5_R10         10       +1.35       -2.80     -7.60
    scn_hub_tight_P5_R20         10      -19.30      -96.35    -16.60
    scn_hub_tight_P5_R30         10      -41.05     -376.65    +21.60
    scn_hub_tight_P5_R5          10       +0.00       +0.00     +0.00
    scn_none_tight_P5_R10        10       +0.00       +0.00     +0.00
    scn_two_rows_loose_P5_R10    10       +0.15       -0.10     -0.60
    scn_two_rows_loose_P5_R20    10      -20.20     -141.45     -2.60
    scn_two_rows_loose_P5_R30    10     -101.90    -1097.05     +1.80
    scn_two_rows_loose_P5_R5     10       +0.00       +0.00     +0.00
    scn_two_rows_medium_P5_R10   10       +0.15       -0.10     -0.40
    scn_two_rows_medium_P5_R20   10      -27.05     -154.55     -0.60
    scn_two_rows_medium_P5_R30   10     -106.60     -993.10     -1.00
    scn_two_rows_medium_P5_R5    10       +0.00       +0.00     +0.00
    scn_two_rows_tight_P5_R10    10       +0.15       +0.45     -0.60
    scn_two_rows_tight_P5_R20    10      -31.85     -279.65     -0.60
    scn_two_rows_tight_P5_R30    10     -109.65    -1115.45     +7.40
    scn_two_rows_tight_P5_R5     10       +0.00       +0.00     +0.00

  [wDLY  (1/100/1  delay-priority)]
    Type                          N   Δmakespan      Δdelay      Δmov
    ---------------------------------------------------------------
    scn_chain_loose_P5_R10       10       +1.90       +1.85     +2.60
    scn_chain_loose_P5_R20       10      -31.50     -201.95    +18.80
    scn_chain_loose_P5_R30       10     -106.35    -1287.75    +60.40
    scn_chain_loose_P5_R5        10       +0.00       +0.00     +0.00
    scn_chain_medium_P5_R10      10       +0.40       -0.60     +1.40
    scn_chain_medium_P5_R20      10      -35.25     -202.45    +18.80
    scn_chain_medium_P5_R30      10     -102.05    -1195.35    +57.20
    scn_chain_medium_P5_R5       10       +0.00       +0.00     +0.00
    scn_chain_tight_P5_R10       10       -6.10      -18.90     -1.20
    scn_chain_tight_P5_R20       10      -32.70     -172.15    +18.00
    scn_chain_tight_P5_R30       10     -103.90    -1255.75    +58.80
    scn_chain_tight_P5_R5        10       +0.10       +0.10     +0.00
    scn_hub_loose_P5_R10         10       -0.55       +1.85     -3.80
    scn_hub_loose_P5_R20         10      -22.60     -105.45    -23.40
    scn_hub_loose_P5_R30         10      -39.85     -453.50     +8.00
    scn_hub_loose_P5_R5          10       +0.00       +0.00     +0.00
    scn_hub_medium_P5_R10        10       -1.90       +0.80     -1.20
    scn_hub_medium_P5_R20        10      -24.75     -123.30    -14.40
    scn_hub_medium_P5_R30        10      -46.30     -451.60    +11.40
    scn_hub_medium_P5_R5         10       +0.00       +0.00     +0.00
    scn_hub_tight_P5_R10         10       -5.35       -8.65     -0.60
    scn_hub_tight_P5_R20         10      -19.15     -124.85     -8.60
    scn_hub_tight_P5_R30         10      -45.30     -481.05     +6.00
    scn_hub_tight_P5_R5          10       +0.00       +0.10     -0.20
    scn_none_tight_P5_R10        10       +0.00       +0.00     +0.00
    scn_two_rows_loose_P5_R10    10       +0.50       +0.15     -1.20
    scn_two_rows_loose_P5_R20    10      -23.10     -104.20     -4.60
    scn_two_rows_loose_P5_R30    10     -116.05    -1162.65     +2.40
    scn_two_rows_loose_P5_R5     10       +0.00       +0.00     +0.00
    scn_two_rows_medium_P5_R10   10       -1.80       -0.10     -0.40
    scn_two_rows_medium_P5_R20   10      -36.55     -178.70     -1.40
    scn_two_rows_medium_P5_R30   10     -113.15    -1123.25     +0.20
    scn_two_rows_medium_P5_R5    10       +0.00       +0.00     +0.00
    scn_two_rows_tight_P5_R10    10       -4.45       -2.05     -1.80
    scn_two_rows_tight_P5_R20    10      -32.95     -162.25     -0.60
    scn_two_rows_tight_P5_R30    10     -121.75    -1089.30     -6.20
    scn_two_rows_tight_P5_R5     10       +0.00       +0.00     +0.00

  [wMOV  (1/1/100  movement-priority)]
    Type                          N   Δmakespan      Δdelay      Δmov
    ---------------------------------------------------------------
    scn_chain_loose_P5_R10       10       +0.60       +2.95     +0.00
    scn_chain_loose_P5_R20       10      -25.75      -97.60     +0.00
    scn_chain_loose_P5_R30       10     -106.55    -1143.85     +0.00
    scn_chain_loose_P5_R5        10       +0.00       +0.00     +0.00
    scn_chain_medium_P5_R10      10       +0.45       +2.55     +0.00
    scn_chain_medium_P5_R20      10      -41.85     -174.05     +0.00
    scn_chain_medium_P5_R30      10     -113.30     -973.80     +0.00
    scn_chain_medium_P5_R5       10       +0.00       +0.00     +0.00
    scn_chain_tight_P5_R10       10       -1.00       -4.55     +0.00
    scn_chain_tight_P5_R20       10      -35.00     -159.30     +0.00
    scn_chain_tight_P5_R30       10     -107.35    -1176.75     +0.00
    scn_chain_tight_P5_R5        10       +0.00       +0.00     +0.00
    scn_hub_loose_P5_R10         10       -0.10       +0.10     +0.00
    scn_hub_loose_P5_R20         10      -24.55     -145.60     +0.00
    scn_hub_loose_P5_R30         10      -53.55     -461.80     +0.00
    scn_hub_loose_P5_R5          10       +0.00       +0.00     +0.00
    scn_hub_medium_P5_R10        10       +0.00       +0.00     +0.00
    scn_hub_medium_P5_R20        10      -25.00     -152.25     +0.00
    scn_hub_medium_P5_R30        10      -48.10     -429.10     +0.00
    scn_hub_medium_P5_R5         10       +0.00       +0.00     +0.00
    scn_hub_tight_P5_R10         10       -2.75       -3.45     +0.00
    scn_hub_tight_P5_R20         10      -21.85     -149.20     +0.00
    scn_hub_tight_P5_R30         10      -42.75     -460.55     +0.00
    scn_hub_tight_P5_R5          10       +0.00       +0.00     +0.00
    scn_none_tight_P5_R10        10       +0.00       +0.00     +0.00
    scn_two_rows_loose_P5_R10    10       +0.30       -0.25     +0.00
    scn_two_rows_loose_P5_R20    10      -21.45      -95.75     +0.00
    scn_two_rows_loose_P5_R30    10      -88.20     -771.45     +0.00
    scn_two_rows_loose_P5_R5     10       +0.00       +0.00     +0.00
    scn_two_rows_medium_P5_R10   10       +0.10       -0.10     +0.00
    scn_two_rows_medium_P5_R20   10      -27.50     -135.85     +0.00
    scn_two_rows_medium_P5_R30   10     -133.15    -1293.15     +0.00
    scn_two_rows_medium_P5_R5    10       +0.00       +0.00     +0.00
    scn_two_rows_tight_P5_R10    10       -0.70       -0.60     +0.00
    scn_two_rows_tight_P5_R20    10      -24.20     -144.00     +0.00
    scn_two_rows_tight_P5_R30    10     -127.20    -1273.30     +0.00
    scn_two_rows_tight_P5_R5     10       +0.00       +0.00     +0.00

==================================================================


==================================================================
  SUMMARY  —  1110 ok  /  0 failed  /  1110 total
==================================================================
  Instance                           Experiment  Status             Obj   Makespan      Delay   Mov       Gap   Time(s)
  ---------------------------------------------------------------------------------------------------------------------
  scn_chain_loose_P5_R10_seed1       igvnd_wMK   heuristic_     6171.00      61.50      11.00    10         -      61.5
  scn_chain_loose_P5_R10_seed1       igvnd_wDLY  heuristic_     1112.50      62.50      10.50     0         -      60.0
  scn_chain_loose_P5_R10_seed1       igvnd_wMOV  heuristic_       73.00      62.50      10.50     0         -      60.0
  scn_chain_loose_P5_R20_seed1       igvnd_wMK   heuristic_    13176.00     127.00     432.00    44         -      60.2
  scn_chain_loose_P5_R20_seed1       igvnd_wDLY  heuristic_    39006.50     134.50     388.50    22         -      60.1
  scn_chain_loose_P5_R20_seed1       igvnd_wMOV  heuristic_      608.00     141.00     467.00     0         -      60.3
  scn_chain_loose_P5_R30_seed1       igvnd_wMK   heuristic_    26171.50     242.00    1915.50    56         -      60.3
  scn_chain_loose_P5_R30_seed1       igvnd_wDLY  heuristic_   172672.00     258.00    1723.50    64         -      62.4
  scn_chain_loose_P5_R30_seed1       igvnd_wMOV  heuristic_     2145.00     240.00    1905.00     0         -      60.6
  scn_chain_loose_P5_R5_seed1        igvnd_wMK   heuristic_     3000.00      30.00       0.00     0         -      60.0
  scn_chain_loose_P5_R5_seed1        igvnd_wDLY  heuristic_       30.00      30.00       0.00     0         -      60.0
  scn_chain_loose_P5_R5_seed1        igvnd_wMOV  heuristic_       30.00      30.00       0.00     0         -      60.0
  scn_chain_medium_P5_R10_seed1      igvnd_wMK   heuristic_     6206.50      61.00      92.50    14         -      60.0
  scn_chain_medium_P5_R10_seed1      igvnd_wDLY  heuristic_     6421.50      61.50      63.50    10         -      60.0
  scn_chain_medium_P5_R10_seed1      igvnd_wMOV  heuristic_      131.00      62.50      68.50     0         -      60.0
  scn_chain_medium_P5_R20_seed1      igvnd_wMK   heuristic_    13613.50     130.00     565.50    48         -      60.1
  scn_chain_medium_P5_R20_seed1      igvnd_wDLY  heuristic_    56314.50     128.50     561.50    36         -      60.2
  scn_chain_medium_P5_R20_seed1      igvnd_wMOV  heuristic_      810.00     138.00     672.00     0         -      60.1
  scn_chain_medium_P5_R30_seed1      igvnd_wMK   heuristic_    25070.50     230.50    1956.50    64         -      62.0
  scn_chain_medium_P5_R30_seed1      igvnd_wDLY  heuristic_   212917.50     267.50    2126.00    50         -      61.8
  scn_chain_medium_P5_R30_seed1      igvnd_wMOV  heuristic_     2542.00     249.00    2293.00     0         -      61.1
  scn_chain_medium_P5_R5_seed1       igvnd_wMK   heuristic_     3000.00      30.00       0.00     0         -      60.0
  scn_chain_medium_P5_R5_seed1       igvnd_wDLY  heuristic_       30.00      30.00       0.00     0         -      60.0
  scn_chain_medium_P5_R5_seed1       igvnd_wMOV  heuristic_       30.00      30.00       0.00     0         -      60.0
  scn_chain_tight_P5_R10_seed1       igvnd_wMK   heuristic_     6224.00      61.00     110.00    14         -      60.0
  scn_chain_tight_P5_R10_seed1       igvnd_wDLY  heuristic_    10221.50      61.50     101.50    10         -      60.0
  scn_chain_tight_P5_R10_seed1       igvnd_wMOV  heuristic_      198.00      65.50     132.50     0         -      60.0
  scn_chain_tight_P5_R20_seed1       igvnd_wMK   heuristic_    13995.50     132.50     707.50    38         -      60.1
  scn_chain_tight_P5_R20_seed1       igvnd_wDLY  heuristic_    68510.00     138.00     683.50    22         -      60.2
  scn_chain_tight_P5_R20_seed1       igvnd_wMOV  heuristic_     1010.50     135.50     875.00     0         -      60.4
  scn_chain_tight_P5_R30_seed1       igvnd_wMK   heuristic_    25951.00     235.00    2375.00    76         -      60.3
  scn_chain_tight_P5_R30_seed1       igvnd_wDLY  heuristic_   231875.00     265.00    2315.50    60         -      60.7
  scn_chain_tight_P5_R30_seed1       igvnd_wMOV  heuristic_     2794.00     249.00    2545.00     0         -      60.7
  scn_chain_tight_P5_R5_seed1        igvnd_wMK   heuristic_     3005.00      30.00       5.00     0         -      60.0
  scn_chain_tight_P5_R5_seed1        igvnd_wDLY  heuristic_       35.00      31.00       0.00     4         -      60.0
  scn_chain_tight_P5_R5_seed1        igvnd_wMOV  heuristic_       35.00      30.00       5.00     0         -      60.0
  scn_hub_loose_P5_R10_seed1         igvnd_wMK   heuristic_     5957.00      59.50       7.00     0         -      60.0
  scn_hub_loose_P5_R10_seed1         igvnd_wDLY  heuristic_      759.50      59.50       7.00     0         -      60.0
  scn_hub_loose_P5_R10_seed1         igvnd_wMOV  heuristic_       66.50      59.50       7.00     0         -      60.0
  scn_hub_loose_P5_R20_seed1         igvnd_wMK   heuristic_    13061.00     125.50     511.00     0         -      60.1
  scn_hub_loose_P5_R20_seed1         igvnd_wDLY  heuristic_    37722.00     136.00     375.50    36         -      60.0
  scn_hub_loose_P5_R20_seed1         igvnd_wMOV  heuristic_      505.00     129.50     375.50     0         -      60.1
  scn_hub_loose_P5_R30_seed1         igvnd_wMK   heuristic_    23829.00     221.50    1679.00     0         -      61.0
  scn_hub_loose_P5_R30_seed1         igvnd_wDLY  heuristic_   142866.50     216.50    1426.50     0         -      61.3
  scn_hub_loose_P5_R30_seed1         igvnd_wMOV  heuristic_     1587.00     218.50    1368.50     0         -      61.6
  scn_hub_loose_P5_R5_seed1          igvnd_wMK   heuristic_     3000.00      30.00       0.00     0         -      60.0
  scn_hub_loose_P5_R5_seed1          igvnd_wDLY  heuristic_       30.00      30.00       0.00     0         -      60.0
  scn_hub_loose_P5_R5_seed1          igvnd_wMOV  heuristic_       30.00      30.00       0.00     0         -      60.0
  scn_hub_medium_P5_R10_seed1        igvnd_wMK   heuristic_     6014.50      59.50      64.50     0         -      60.0
  scn_hub_medium_P5_R10_seed1        igvnd_wDLY  heuristic_     6509.50      59.50      64.50     0         -      60.0
  scn_hub_medium_P5_R10_seed1        igvnd_wMOV  heuristic_      124.00      59.50      64.50     0         -      60.0
  scn_hub_medium_P5_R20_seed1        igvnd_wMK   heuristic_    13223.00     125.50     673.00     0         -      60.2
  scn_hub_medium_P5_R20_seed1        igvnd_wDLY  heuristic_    51827.50     127.50     517.00     0         -      60.1
  scn_hub_medium_P5_R20_seed1        igvnd_wMOV  heuristic_      643.50     127.50     516.00     0         -      60.3
  scn_hub_medium_P5_R30_seed1        igvnd_wMK   heuristic_    24450.50     224.50    2000.50     0         -      60.4
  scn_hub_medium_P5_R30_seed1        igvnd_wDLY  heuristic_   189255.00     255.00    1890.00     0         -      61.5
  scn_hub_medium_P5_R30_seed1        igvnd_wMOV  heuristic_     1927.00     214.50    1712.50     0         -      61.8
  scn_hub_medium_P5_R5_seed1         igvnd_wMK   heuristic_     3000.00      30.00       0.00     0         -      60.0
  scn_hub_medium_P5_R5_seed1         igvnd_wDLY  heuristic_       30.00      30.00       0.00     0         -      60.0
  scn_hub_medium_P5_R5_seed1         igvnd_wMOV  heuristic_       30.00      30.00       0.00     0         -      60.0
  scn_hub_tight_P5_R10_seed1         igvnd_wMK   heuristic_     6058.50      59.50     108.50     0         -      60.0
  scn_hub_tight_P5_R10_seed1         igvnd_wDLY  heuristic_    10822.50      62.50     107.50    10         -      60.0
  scn_hub_tight_P5_R10_seed1         igvnd_wMOV  heuristic_      168.00      59.50     108.50     0         -      60.1
  scn_hub_tight_P5_R20_seed1         igvnd_wMK   heuristic_    13161.00     124.50     711.00     0         -      60.5
